Datetime,Open,High,Low,Close
2017-10-19 15:30,255.56,255.66,255.53,255.62
2017-10-19 15:55,255.62,255.66,255.46,255.65
2017-10-20 10:00,256.70,256.73,256.42,256.55
2017-10-20 10:30,256.55,256.75,256.52,256.59
2017-10-20 11:00,256.59,256.65,256.43,256.45
2017-10-20 11:30,256.44,256.59,256.44,256.52
2017-10-20 12:00,256.52,256.70,256.51,256.69
2017-10-20 12:30,256.70,256.78,256.64,256.77
2017-10-20 13:00,256.77,256.83,256.67,256.79
2017-10-20 13:30,256.79,256.98,256.78,256.95
2017-10-20 14:00,256.96,257.07,256.90,256.92
2017-10-20 14:30,256.92,257.12,256.92,257.09
2017-10-20 15:00,257.09,257.14,256.92,256.94
2017-10-20 15:30,256.93,257.03,256.85,256.88
2017-10-20 15:55,256.88,257.01,256.79,256.82
2017-10-23 10:00,257.48,257.51,257.12,257.31
2017-10-23 10:30,257.31,257.31,257.03,257.11
2017-10-23 11:00,257.11,257.23,257.00,257.02
2017-10-23 11:30,257.03,257.18,257.02,257.13
2017-10-23 12:00,257.12,257.13,256.85,256.98
2017-10-23 12:30,256.97,257.03,256.88,257.00
2017-10-23 13:00,257.00,257.05,256.90,257.05
2017-10-23 13:30,257.05,257.08,256.87,256.93
2017-10-23 14:00,256.93,256.97,256.70,256.80
2017-10-23 14:30,256.81,256.86,256.55,256.67
2017-10-23 15:00,256.68,256.70,256.48,256.66
2017-10-23 15:30,256.66,256.67,256.23,256.33
2017-10-23 15:55,256.32,256.40,256.02,256.13
2017-10-24 10:00,256.59,256.74,256.15,256.16
2017-10-24 10:30,256.17,256.47,256.15,256.43
2017-10-24 11:00,256.43,256.55,256.31,256.48
2017-10-24 11:30,256.47,256.62,256.47,256.58
2017-10-24 12:00,256.57,256.69,256.51,256.61
2017-10-24 12:30,256.61,256.68,256.55,256.61
2017-10-24 13:00,256.60,256.67,256.58,256.59
2017-10-24 13:30,256.59,256.65,256.51,256.60
2017-10-24 14:00,256.60,256.71,256.57,256.64
2017-10-24 14:30,256.65,256.83,256.59,256.78
2017-10-24 15:00,256.78,256.82,256.51,256.58
2017-10-24 15:30,256.59,256.68,256.27,256.39
2017-10-24 15:55,256.38,256.59,256.32,256.43
2017-10-25 10:00,256.18,256.31,255.75,255.81
2017-10-25 10:30,255.80,256.02,255.43,255.62
2017-10-25 11:00,255.62,255.64,255.06,255.26
2017-10-25 11:30,255.25,255.26,254.46,254.80
2017-10-25 12:00,254.80,255.05,254.55,254.73
2017-10-25 12:30,254.72,254.73,254.04,254.06
2017-10-25 13:00,254.06,254.68,254.00,254.65
2017-10-25 13:30,254.65,254.83,254.45,254.58
2017-10-25 14:00,254.58,255.14,254.57,255.09
2017-10-25 14:30,255.08,255.44,255.07,255.35
2017-10-25 15:00,255.35,255.36,254.95,255.15
2017-10-25 15:30,255.15,255.57,255.06,255.51
2017-10-25 15:55,255.51,255.52,254.90,255.26
2017-10-26 10:00,255.99,256.20,255.84,256.04
2017-10-26 10:30,256.04,256.05,255.56,255.78
2017-10-26 11:00,255.79,256.16,255.71,256.11
2017-10-26 11:30,256.11,256.30,255.69,255.95
2017-10-26 12:00,255.95,256.08,255.80,255.93
2017-10-26 12:30,255.93,256.14,255.90,256.13
2017-10-26 13:00,256.13,256.13,255.68,255.76
2017-10-26 13:30,255.76,256.04,255.68,255.97
2017-10-26 14:00,255.98,256.04,255.86,256.02
2017-10-26 14:30,256.02,256.10,255.96,256.04
2017-10-26 15:00,256.04,256.09,255.76,255.77
2017-10-26 15:30,255.77,255.87,255.62,255.77
2017-10-26 15:55,255.78,255.91,255.58,255.91
2017-10-27 10:00,256.50,256.63,256.16,256.51
2017-10-27 10:30,256.52,257.08,256.50,256.78
2017-10-27 11:00,256.79,256.99,256.73,256.93
2017-10-27 11:30,256.92,257.34,256.92,257.32
2017-10-27 12:00,257.31,257.51,257.31,257.45
2017-10-27 12:30,257.45,257.69,257.44,257.54
2017-10-27 13:00,257.55,257.75,257.52,257.60
2017-10-27 13:30,257.60,257.71,257.45,257.48
2017-10-27 14:00,257.48,257.70,257.47,257.69
2017-10-27 14:30,257.68,257.89,257.64,257.71
2017-10-27 15:00,257.71,257.76,257.55,257.64
2017-10-27 15:30,257.64,257.76,257.58,257.70
2017-10-27 15:55,257.70,257.76,257.51,257.67
2017-10-30 10:00,257.06,257.40,256.99,257.27
2017-10-30 10:30,257.28,257.50,257.21,257.47
2017-10-30 11:00,257.47,257.60,257.43,257.47
2017-10-30 11:30,257.47,257.51,257.04,257.05
2017-10-30 12:00,257.06,257.12,256.64,256.89
